,uni_name,global,error_rate,label_1,label_2,label_4,label_5,label_7,label_8,label_10,label_11,label_12,label_13,label_14,label_15,label_16,label_17,label_18,label_19,label_20,label_21,label_22,label_23,label_24,label_25,label_26,label_27,label_28,label_29,label_30,label_32,label_34,label_35,label_36,label_37,label_38,label_39,label_40,label_41,label_42,label_43,label_44,label_45,label_46,label_47,label_48,label_49,label_50,label_51,label_52,label_53,label_54,label_55,label_56,label_57,label_58,label_59,label_60,label_61,label_62,label_63,label_64,label_65,label_66,label_67,label_68,label_69,label_70,label_71,label_72,label_73,label_74,label_75,label_76,label_77,label_79,label_80,label_81,label_82,label_83,label_84,label_85,label_86,label_87,label_88,label_89,label_90,label_91,label_92,label_93,label_94,label_95,label_96,label_97,label_98,label_99,label_100,label_101
0,pretrain,0.9512195121951219,0.04878048780487809,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,0.8,0.8,1.0,1.0,1.0,0.75,1.0,1.0,0.9,1.0,1.0,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.8,0.6666666666666666,1.0,1.0,1.0,1.0,1.0
1,inctrain,0.0027100271002710027,0.997289972899729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Coteaching,0.02710027100271003,0.9728997289972899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.5454545454545454,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Coteachingplus,0.15176151761517614,0.8482384823848239,1.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.2,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.07142857142857142,1.0,0.25,0.0,0.3333333333333333,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.6666666666666666,0.0,0.0,0.0,0.5,0.0,0.0,0.2222222222222222,0.5,0.0,0.42857142857142855,0.0,0.625,0.0,0.36363636363636365,0.0,0.0,0.5,0.0,1.0,0.0,0.0,0.2,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.5,0.0,0.0,0.0
4,Decoupling,0.14905149051490515,0.8509485094850948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3333333333333333,0.0,0.0,0.2,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.07142857142857142,1.0,0.75,0.0,0.6666666666666666,0.1,0.0,0.0,0.25,0.0,0.6666666666666666,0.3333333333333333,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.5,0.3,0.6666666666666666,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.2222222222222222,0.3333333333333333,0.0,0.2857142857142857,0.08333333333333333,0.25,0.0,0.2727272727272727,0.0,0.0,0.25,0.0,1.0,0.0,0.0,0.2,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,1.0,0.0,0.0,0.0
5,DISC,0.926829268292683,0.07317073170731703,1.0,1.0,0.8,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.6666666666666666,0.0,1.0,1.0,0.75,0.8,1.0,1.0,0.7857142857142857,1.0,1.0,1.0,1.0,0.9,1.0,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.8888888888888888,0.8333333333333334,1.0,1.0,1.0,1.0,0.8571428571428571,1.0,1.0,1.0,0.75,1.0,1.0,1.0,1.0,0.8,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.6666666666666666,1.0,1.0,0.5,0.5,1.0
6,ELR,0.8699186991869918,0.13008130081300817,1.0,0.0,0.8,1.0,1.0,0.0,0.5,1.0,0.6666666666666666,0.6666666666666666,0.6,1.0,0.8,1.0,0.5,1.0,1.0,1.0,0.8,1.0,1.0,1.0,1.0,0.3333333333333333,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.8,0.0,0.6,1.0,1.0,1.0,1.0,0.75,1.0,1.0,0.9,1.0,0.75,0.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.8,1.0,1.0,1.0,1.0,1.0,1.0,0.8571428571428571,1.0,1.0,1.0,0.75,1.0,1.0,1.0,1.0,0.8,1.0,0.6,1.0,1.0,0.75,0.7,0.8,0.16666666666666666,1.0,1.0,1.0,0.5,1.0
7,GJS,0.9159891598915989,0.0840108401084011,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.0,0.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.0,1.0,1.0,0.5,0.4,0.8,1.0,1.0,1.0,0.75,1.0,1.0,0.9,1.0,0.75,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.8888888888888888,0.9166666666666666,1.0,1.0,1.0,1.0,0.7142857142857143,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,1.0,1.0,0.8,1.0,1.0,0.75,1.0,0.8,0.8333333333333334,1.0,0.5,1.0,1.0,1.0
8,JoCoR,0.051490514905149054,0.948509485094851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.5714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.25,0.0,0.0,0.16666666666666666,0.0,0.0,0.2727272727272727,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.5,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,NegativeLearning,0.14363143631436315,0.8563685636856369,0.0,0.0,0.2,0.0,0.5,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,1.0,0.25,0.0,0.6666666666666666,0.0,0.14285714285714285,0.0,0.0,0.0,0.16666666666666666,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.5,0.5,0.4,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.25,0.14285714285714285,0.14285714285714285,0.3333333333333333,0.25,0.0,0.8181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.125,0.2,0.2,0.0,0.0,0.5,0.0,0.0,0.0
