,cifar-10(sym)-0.5,cifar-100(asym)-0.5,flower-102(sym)-0.5,pet-37(asym)-0.5
pretrain,84.85,65.16,91.07843137254902,89.26137912237667
inc_train,65.06,38.55,66.47058823529412,53.69310438811665
Coteaching,45.44,39.0,64.2156862745098,58.43554101935132
Coteachingplus,59.37,52.75,63.13725490196079,86.45407467974925
Decoupling,80.35,56.89,67.74509803921569,87.87135459253203
DISC,82.1,59.34,88.52941176470588,65.05859907331698
ELR,80.91,57.11,75.98039215686275,63.0962115017716
GJS,81.65,59.38,73.72549019607843,66.58490051785228
JoCoR,76.32,54.97,63.431372549019606,68.19296811120196
NegativeLearning,82.0,60.16,74.70588235294117,89.20686835650041
PENCIL,80.44,56.73,66.66666666666667,55.164895066775685
FT,79.35,54.42,65.88235294117646,58.898882529299534
GA,69.75,38.41,66.96078431372548,67.37530662305805
GA_l1,76.05,35.29,67.25490196078431,36.93104388116653
wfisher,65.34,38.66,66.76470588235294,63.94112837285364
CRUL,87.3,63.85,90.49019607843135,91.1692559280458
